measure	title
H.R. 2	Reserved for the Speaker.
H.R. 3	Reserved for the Speaker.
H.R. 5	Reserved for the Speaker.
H.R. 8	Reserved for the Speaker.
H.R. 10	Reserved for the Speaker.
H.R. 4584	To make technical amendments to update statutory references to certain provisions which were formerly classified to chapters 14 and 19 of title 25, United States Code, and to correct related technical errors.
H.R. 4944	Ending Qualified Immunity for ICE Agents Act
H.R. 5182	To make improvements in the enactment of title 54, United States Code, into a positive law title and to correct related technical errors.
H.R. 5185	To make improvements in the enactment of title 41, United States Code, into a positive law title and to improve the Code.
H.R. 5210	To make technical amendments to update statutory references to certain provisions classified to title 2, United States Code, title 50, United States Code, and title 52, United States Code, and to correct related technical errors.
H.R. 9200	To secure the borders of the United States, and for other purposes.
H.R. 9619	To require artificial intelligence chatbot providers to provide data privacy and security, and for other purposes.
H.R. 9705	To require the Secretary of the Army to issue guidance relating to the review of applications for alteration or temporary or permanent occupation or use of certain hydropower projects, and for other purposes.
H.R. 9783	To impose sanctions with respect to the Government of Canada in response to transboundary wildfire smoke affecting the United States, and for other purposes.
H.R. 9807	To amend the Federal Insecticide, Fungicide, and Rodenticide Act to prevent preemption of State law claims that are consistent with the misbranding standards of such Act, and for other purposes.
H.R. 9819	To amend title 18, United States Code, to require that the Attorney General take child welfare intervention history surveys of offenders in the custody of the Attorney General, and for other purposes.
H.R. 9832	To amend title XVIII of the Social Security Act to provide for coverage of dental services under the Medicare program.
H.R. 9857	To improve the safety and security of Members of Congress, immediate family members of Members of Congress, and congressional staff, and for other purposes.
H.R. 9870	To amend the Internal Revenue Code of 1986 to allow for nonrecognition of gain on real property sold for use as affordable housing.
H.R. 9877	To improve the health of minority individuals, and for other purposes.
H.R. 9892	To require the United States Trade Representative to initiate an investigation under section 301 of the Trade Act of 1974 with respect to the European Union, and for other purposes.
H.R. 9901	To provide that the final rule of the United States Fish and Wildlife Service and National Oceanic and Atmospheric Administration titled "Rescinding the Definition of "Harm" Under the Endangered Species Act" shall have no force or effect.
